rank,source_slug,origin,source_ref,url,stage,tier,lane,score,license,project_type,images,class_count,vietnamese_class_hits,vietnamese_class_ratio,ingredient_class_hits,ingredient_class_ratio,exports,metadata_status,matched_queries,why_top_tier,risks_or_filters,next_action
11,vietnamese_food_5,drive+roboflow,roboflow:foodaitonghop/vietnamese-food-0nsuo,https://universe.roboflow.com/foodaitonghop/vietnamese-food-0nsuo,raw_audited_cached_oauth_full23,BOOSTER_AUDIT,BOOSTER_AUDIT,,CC BY 4.0,object-detection,1000,5,5,1.00,0,0.00,yolov11;yolov5pytorch;yolov8,oauth_full23_audit,manual_api_check,Small focused Vietnamese booster for common dishes; easy to control. OAuth Drive v11 audit/cache is complete.,Only 5 classes and overlaps with other Vietnamese boosters. Audit warning: Audit clean; sample grid/manual review still required before full accept.,Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
12,vietnamese_food_nhh,roboflow_api,roboflow:nhh/vietnamese-food,https://universe.roboflow.com/nhh/vietnamese-food,raw_audited_cached_roboflow_phase1,BOOSTER_AUDIT,BOOSTER_AUDIT,91.33,CC BY 4.0,object-detection,1000,5,5,1.00,0,0.00,coco;florence2-od;mt-yolov6;multiclass;tensorflow;tfrecord;yolokeras;yolov11;yolov5pytorch;yolov8;yolov8-obb,enriched,large_source_v12_roboflow_phase1,"Five clear Vietnamese classes: banh mi, bot chien, bun, goi cuon, pho. Roboflow phase1 v12 audit/cache is complete: 1000 images, 1411 boxes, 5 classes.",Small class set; likely overlaps Vietnamese Food 5 and should be capped.,Use as capped booster after sample-grid approval and dedupe.
13,food_kcmrd,drive+roboflow,roboflow:helo-helo/food-kcmrd,https://universe.roboflow.com/helo-helo/food-kcmrd,raw_audited_cached_oauth_full23,SUPPLEMENT_AUDIT,INGREDIENT_SUPPLEMENT_AUDIT,,CC BY 4.0,object-detection,10858,78,0,0.00,27,0.35,yolov11;yolov5pytorch,oauth_full23_audit,manual_api_check,Strong ingredient/protein/vegetable supplement from current OAuth cache. OAuth Drive v11 audit/cache is complete.,Broad mixed ingredient taxonomy and duplicate label rows; not a full backbone merge. Audit warning: Duplicate label rows require cleanup.,Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
14,food_ingredient_recognition,roboflow_api,roboflow:test-image-preprocessing/food-ingredient-recognition-51ngf,https://universe.roboflow.com/test-image-preprocessing/food-ingredient-recognition-51ngf,raw_audited_cached_roboflow_phase2,SUPPLEMENT_AUDIT,INGREDIENT_SUPPLEMENT,125.74,CC BY 4.0,object-detection,13007,61,0,0.00,19,0.31,clip;coco;createml;darknet;multiclass;retinanet;tensorflow;voc;yolov11;yolov5-obb;yolov5pytorch;yolov8;yolov9,enriched,large_source_v14_roboflow_phase2,"Large ingredient source with many raw materials useful for EatFitAI ingredient mode. Roboflow phase2 v14 audit/cache is complete: 13007 images, 78444 boxes, 61 classes.",429 empty labels and very dense repeated boxes; class names are broad and non-Vietnamese.,"Use only with strict ingredient whitelist, box-density caps, and non-target class rejection."
15,food_ingredient_3qyxj,roboflow_api,roboflow:food-4pya3/food-ingredient-3qyxj,https://universe.roboflow.com/food-4pya3/food-ingredient-3qyxj,raw_audited_cached_roboflow_phase2,SUPPLEMENT_AUDIT,INGREDIENT_SUPPLEMENT,127.25,CC BY 4.0,object-detection,23983,10,0,0.00,8,0.80,coco;multiclass;yolov5pytorch;yolov8,enriched,large_source_v14_roboflow_phase2,"Large but compact-class ingredient source with proteins and aromatics. Roboflow phase2 v14 audit/cache is complete: 23983 images, 59985 boxes, 10 classes.",Ingredient-only; 1740 segment rows and 120 empty labels; do not use as Vietnamese dish backbone.,"Use as ingredient supplement after segment conversion, whitelist, and class caps."
16,spice_caezr,roboflow_api,roboflow:spiceso/spice-caezr,https://universe.roboflow.com/spiceso/spice-caezr,raw_audited_cached_roboflow_phase2,SUPPLEMENT_AUDIT,SPICE_SUPPLEMENT,111.61,CC BY 4.0,object-detection,4383,12,0,0.00,12,1.00,yolov5pytorch,enriched,large_source_v14_roboflow_phase2,"Spice/aromatic source for garlic, onion, ginger/galangal, cinnamon, clove, lime leaves, coriander seed, star anise, and similar classes. Roboflow phase2 v14 audit/cache is complete: 4383 images, 49842 boxes, 12 classes.",Non-English labels need mapping; 1789 segment rows and very dense repeated boxes.,"Use as spice supplement after label translation, segment conversion, and dense-grid caps."
17,ingredient_v0h5a,roboflow_api,roboflow:nurs-workspace-vavv5/ingredient-v0h5a,https://universe.roboflow.com/nurs-workspace-vavv5/ingredient-v0h5a,raw_audited_cached_roboflow_phase2,SUPPLEMENT_AUDIT,INGREDIENT_CHERRY_PICK,92.04,Public Domain,object-detection,3838,12,0,0.00,9,0.75,coco;yolov5pytorch,enriched,large_source_v14_roboflow_phase2,"Public-domain ingredient source with tofu, tempeh, sweet potato, spinach, shrimp, chicken, egg, fish, carrot, squid, and potato. Roboflow phase2 v14 audit/cache is complete: 3838 images, 4398 detect boxes, 12 classes.",CHERRY_PICK audit decision due to 95304 segment rows and dense repeated boxes; many isolated objects.,Cherry-pick only weak ingredient classes after segment conversion and dense-image caps.
18,vegetable_detection,drive+roboflow,roboflow:area51-npwti/vegetable-object-detection-ybszt,https://universe.roboflow.com/area51-npwti/vegetable-object-detection-ybszt,raw_audited_cached_oauth_full23,HOLD_CROWDED_INGREDIENT,INGREDIENT_SUPPLEMENT_AUDIT,,CC BY 4.0,object-detection,8269,22,0,0.00,5,0.23,coco;yolov11;yolov5pytorch;yolov8,oauth_full23_audit,manual_api_check,Useful vegetable/ingredient supplement from current OAuth cache. OAuth Drive v11 audit/cache is complete.,Current sample grid shows very crowded/repeated boxes and 277 duplicate rows. Audit warning: Segmentation rows require bbox conversion.,Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
19,uecfood256,drive+roboflow,roboflow:japon-gi1n7/uecfood256,https://universe.roboflow.com/japon-gi1n7/uecfood256,raw_audited_cached_oauth_full23,CHERRY_PICK_ONLY,CHERRY_PICK_REVIEW,,unknown,object-detection,76300,253,,,,,,oauth_full23_audit,oauth_full23_v11,Large Asian food coverage useful only for missing classes. OAuth Drive v11 audit/cache is complete.,Too broad and not Vietnamese-focused; class taxonomy would become too loose if merged full. Audit warning: Duplicate label rows require cleanup.,Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
20,thai_food,drive+roboflow,roboflow:baimint/thai-food-project,https://universe.roboflow.com/baimint/thai-food-project,raw_audited_cached_oauth_full23,SUPPLEMENT_AUDIT,INGREDIENT_SUPPLEMENT_AUDIT,114.47,CC BY 4.0,object-detection,10183,19,0,0.00,8,0.42,coco;tensorflow;yolov5pytorch;yolov8,oauth_full23_audit,thai food object detection images>500,Neighbor cuisine source useful for overlapping SEA foods/ingredients. OAuth Drive v11 audit/cache is complete.,Not Vietnamese-first; avoid diluting class distribution. Audit warning: Segmentation rows require bbox conversion.,Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
21,vietfood67,kaggle_api,kaggle:thomasnguyen6868/vietfood68,https://www.kaggle.com/datasets/thomasnguyen6868/vietfood68,raw_audited_kaggle_direct_license_risk,TOP_TIER_NONCOMMERCIAL_AUDIT,BACKBONE_AUDIT,,CC BY-NC-SA 4.0,object-detection,3002,68,,,,,yolo_files,kaggle_direct_audit,Kaggle direct audit confirms YOLO labels and strong Vietnamese food backbone; external class map was used because data.yaml is missing.,Non-commercial/share-alike license remains a blocker for production/commercial clean data; drop generic/non-target classes before any private/non-commercial clean lane.,Keep out of default production clean set; use only in private graduation/non-commercial lane after class whitelist.,
