source_slug,audit_state,clean_lane,include_in_default_clean,license_lane,cache_state,source_weight_cap,required_filters,reason
food_ingredient_recognition,audited_cached,INGREDIENT_SUPPLEMENT_FILTERED,yes,cc_by_4,cached_to_kaggle_dataset,0.20,ingredient_whitelist;dense_box_cap;reject_non_target,Large ingredient source useful only through strict whitelist and dense-box caps.
food_ingredient_3qyxj,audited_cached,INGREDIENT_SUPPLEMENT_FILTERED,yes,cc_by_4,cached_to_kaggle_dataset,0.20,convert_segments;ingredient_whitelist;source_weight_cap,Compact-class ingredient source for proteins aromatics and vegetables.
spice_caezr,audited_cached,SPICE_SUPPLEMENT_FILTERED,yes,cc_by_4,cached_to_kaggle_dataset,0.15,translate_spice_labels;convert_segments;dense_box_cap,Spice and aromatic supplement for garlic onion ginger galangal cinnamon clove coriander lime leaf and star anise.
ingredient_v0h5a,audited_cached,INGREDIENT_CHERRY_PICK,yes,public_domain,cached_to_kaggle_dataset,0.15,cherry_pick_only;convert_segments;dense_box_cap,Public-domain ingredient source but segment-heavy and dense; keep only weak target ingredient classes.
vietfood67,audited_direct_no_raw_cache,NONCOMMERCIAL_PRIVATE_BACKBONE,yes,private_noncommercial_accepted,audited_direct_no_raw_cache,0.70,strict_class_whitelist;drop_generic_nonfood;private_noncommercial_lane,Strong Vietnamese backbone accepted for this private training lane after explicit user approval; do not publish as commercial or public-clean data without a separate license decision.
banh_dan_gian_mien_tay,audited_cached,TAIL_BOOSTER_AFTER_CROWD_FILTER,no,unverified_private_only,cached_to_kaggle_dataset,0.20,crowd_overlap_filter;convert_segments;source_weight_cap,Relevant western Vietnam cake scenes but crowd filtering must exist before default clean inclusion.
food_detection_bobotnhan,audited_cached,SECONDARY_FILTERED,no,cc_by_4,cached_to_kaggle_dataset,0.25,strict_class_whitelist;drop_low_fit_classes;fix_tiny_boxes,Useful but mixed broad meal source; hold until first clean result shows class gaps.
thai_food,audited_cached,SEA_SUPPLEMENT_CHERRY_PICK,no,cc_by_4,cached_to_kaggle_dataset,0.15,overlap_only;avoid_cuisine_dilution;convert_segments,Neighboring cuisine source; use only if overlapping SEA ingredient or dish gaps remain.
fish,audited_cached,OPTIONAL_PROTEIN_BOOSTER,no,unverified_private_only,cached_to_kaggle_dataset,0.10,cap_repetitive_frames;dedupe,use only if fish remains weak after core merge.
food_prethesis_v3,audited_cached,HOLD_OVERLAP_TAIL,no,unverified_private_only,cached_to_kaggle_dataset,0.10,dedupe_against_food_prethesis_v6;tail_only,Alternate export overlaps food_prethesis v6; hold unless it fills cleaner missing tails.
uecfood256,audited_cached,CHERRY_PICK_ONLY,no,unknown,cached_to_kaggle_dataset,0.10,mapped_classes_only;cap_per_class,Too broad with 253 classes; do not import as a full source.
vegetable_detection,audited_cached,HOLD_CROWDED_INGREDIENT,no,unverified_private_only,cached_to_kaggle_dataset,0.10,aggressive_crowd_overlap_filter;convert_segments,Crowded repeated market boxes make it unsafe for default clean.
food_detection_64,audited_cached,HOLD_CHERRY_PICK,no,unverified_private_only,cached_to_kaggle_dataset,0.10,drop_non_target;dedupe_label_rows;cap_source_weight,Broad general-food source with noisy context; hold from first clean.
food_detection_xt7yz,audited_cached,HOLD_CHERRY_PICK,no,unverified_private_only,cached_to_kaggle_dataset,0.10,mapped_overlap_only;cap_source_weight,Lower Vietnamese fit than the selected sources.
npg_project,audited_cached,HOLD_INGREDIENT_GAPS,no,unverified_private_only,cached_to_kaggle_dataset,0.10,reject_packaged_products;ingredient_gaps_only,Mostly isolated product style samples; hold until ingredient gaps remain.
food_union_fruit_old,skipped_quarantine,EXCLUDE,no,unverified_private_only,skipped_by_decision,0.00,none,Old fruit-heavy source remains excluded.
food_detection_3_old,skipped_quarantine,EXCLUDE,no,unverified_private_only,skipped_by_decision,0.00,none,Old problem source remains excluded by prior duplicate-label history.
