path,area,kind,tracked_or_generated,referenced_by,last_signal,risk,recommended_action,confidence,verification_needed,notes
ai-provider/stt_service.py,ai-provider,script,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/tests/test_gemini_pool.py,ai-provider,script,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/train_local.py,ai-provider,script,tracked,Training or model-distribution helper adjacent to the AI provider; not part of the app.py runtime path.,mtime:2026-04-16,medium,VERIFY_FIRST,medium,"Search runtime, import, script, and doc ownership before deleting or moving.",Separate training lane from runtime app.py path.
ai-provider/upload_model.py,ai-provider,script,tracked,Training or model-distribution helper adjacent to the AI provider; not part of the app.py runtime path.,mtime:2026-04-16,medium,VERIFY_FIRST,medium,"Search runtime, import, script, and doc ownership before deleting or moving.",Separate training lane from runtime app.py path.
ai-provider/uploads/.gitkeep,ai-provider,file,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/yolov8s.pt,ai-provider,model-artifact,tracked,Loaded by ai-provider/app.py as the fallback vision model and checked by tools/dev/Invoke-DevPreflight.ps1.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,Explicit do-not-touch-yet exception.
artifacts,generated,generated-dir,generated,Generated local output root; descendants are reproducible and ignored by git.,mtime:2026-04-18,low,DELETE_NOW,high,Confirm .gitignore coverage and regenerate only when needed.,descendant_files=5 latest_generated_signal=2026-04-18
commit_backend.txt,root,data,tracked,No git-tracked references outside self; scratch commit-message note.,mtime:2026-04-16,low,DELETE_NOW,high,Confirm .gitignore coverage and regenerate only when needed.,No extra cleanup note.
data_sources.md,root,doc,tracked,Only surfaced by docs/yolo11-upgrade-research.md or adjacent legacy training files; not part of runtime manifests.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,Legacy root-level training lane disconnected from current ai-provider runtime.
docs/01_ARCHITECTURE_OVERVIEW.md,docs,doc,tracked,Listed in docs/README.md as current execution or architecture guidance.,mtime:2026-04-16,medium,FIX_OR_REPLACE,high,"Repair the documented path or tool behavior, then rerun the linked workflow.",absolute_windows_path_hits=3
docs/02_USERFLOW.md,docs,doc,tracked,Listed in docs/README.md as current execution or architecture guidance.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
docs/03_AI_FLOW.md,docs,doc,tracked,Listed in docs/README.md as current execution or architecture guidance.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
docs/04_ENVIRONMENT_EXECUTION_PLAN.md,docs,doc,tracked,Listed in docs/README.md as current execution or architecture guidance.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
docs/06_RUNTIME_AUDIT_SNAPSHOT_2026-03-14.md,docs,doc,tracked,Listed in docs/README.md as current execution or architecture guidance.,filename-date:2026-03-14; mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
docs/07_NOTION_PLAN_GAP_AND_2PERSON_RESTRUCTURE_2026-03-14.md,docs,doc,tracked,Listed in docs/README.md as current execution or architecture guidance.,filename-date:2026-03-14; mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
docs/08_EATFITAI_MODERN_PRODUCT_AUDIT_2026-03-29.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-03-29; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,No extra cleanup note.
docs/09_EATFITAI_BENCHMARK_EVIDENCE_2026-03-29.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-03-29; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,No extra cleanup note.
docs/10_SUPABASE_RENDER_CLOUD_SETUP.md,docs,doc,tracked,Tracked doc outside the canonical docs/README shortlist; review owner and current usage before moving.,mtime:2026-04-16,medium,VERIFY_FIRST,medium,"Search runtime, import, script, and doc ownership before deleting or moving.",No extra cleanup note.
docs/11_RESULT_E2E_PRODUCTION_SMOKE.md,docs,doc,tracked,Listed in docs/README.md as current execution or architecture guidance.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
docs/12_GEMINI_POOL_LIVE_ROLLOUT_2026-04-09.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-04-09; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,No extra cleanup note.
docs/13_SCAN_DEMO_RELIABILITY_BUNDLE_2026-04-09.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-04-09; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,absolute_windows_path_hits=3
docs/15_SCAN_DEMO_RELIABILITY_POST_EXECUTION_REVIEW_2026-04-09.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-04-09; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,absolute_windows_path_hits=8
docs/16_AUTH_INFRA_INVESTIGATION_2026-04-14.md,docs,doc,tracked,Listed in docs/README.md as current execution or architecture guidance.,filename-date:2026-04-14; mtime:2026-04-16,medium,FIX_OR_REPLACE,high,"Repair the documented path or tool behavior, then rerun the linked workflow.",absolute_windows_path_hits=26
docs/17_PULLER_HANDOFF_2026-04-14.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-04-14; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,absolute_windows_path_hits=3
docs/18_REAL_DEVICE_AUTH_RUNBOOK_AND_GOOGLE_REMEDIATION_2026-04-15.md,docs,doc,tracked,Listed in docs/README.md as current execution or architecture guidance.,filename-date:2026-04-15; mtime:2026-04-16,medium,FIX_OR_REPLACE,high,"Repair the documented path or tool behavior, then rerun the linked workflow.",absolute_windows_path_hits=35
docs/21_SECURITY_LIVE_ROLLOUT_RUNBOOK_2026-04-16.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-04-16; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,absolute_windows_path_hits=2
docs/22_SECURITY_AUTOMATION_EXECUTION_2026-04-16.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-04-16; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,absolute_windows_path_hits=2
docs/23_SECURITY_LIVE_ROTATION_UPDATE_2026-04-16.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-04-16; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,No extra cleanup note.
docs/24_PRODUCT_RELEASE_TEST_PLAN_2026-04-16.md,docs,doc,tracked,Listed in docs/README.md as current execution or architecture guidance.,filename-date:2026-04-16; mtime:2026-04-17,medium,FIX_OR_REPLACE,high,"Repair the documented path or tool behavior, then rerun the linked workflow.",absolute_windows_path_hits=3
docs/25_CLOUD_PRODUCT_PROGRESS_2026-04-17.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-04-17; mtime:2026-04-17,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,absolute_windows_path_hits=38
docs/AI_DATASET_AND_MODEL_EVIDENCE.md,docs,doc,tracked,Tracked doc outside the canonical docs/README shortlist; review owner and current usage before moving.,mtime:2026-04-16,medium,VERIFY_FIRST,medium,"Search runtime, import, script, and doc ownership before deleting or moving.",absolute_windows_path_hits=19
docs/EatFitAI_Admin_Documentation.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,absolute_windows_path_hits=1
docs/QA_EATFITAI_FULL_APP_EVALUATION_2026-03-28.md,docs,doc,tracked,Historical or evidence-heavy doc with stale local-drive links; superseded by canonical docs index.,filename-date:2026-03-28; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,absolute_windows_path_hits=1
docs/README.md,docs,doc,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
docs/SECRETS_SETUP.md,docs,doc,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,medium,FIX_OR_REPLACE,high,"Repair the documented path or tool behavior, then rerun the linked workflow.",absolute_windows_path_hits=2
docs/analysis_reports/AI_SOVEREIGNTY_STRATEGY_0USD.md,docs,doc,tracked,Historical analysis report; not promoted by docs/README.md as canonical execution guidance.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,Historical research snapshot.
docs/analysis_reports/BAO_CAO_DANH_GIA_CONG_NGHE_VA_CACH_LAM_HIEN_TAI_2026-02-26.md,docs,doc,tracked,Historical analysis report; not promoted by docs/README.md as canonical execution guidance.,filename-date:2026-02-26; mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,Historical research snapshot.
docs/analysis_reports/FEASIBILITY_REPORT_PRO_MAX.md,docs,doc,tracked,Historical analysis report; not promoted by docs/README.md as canonical execution guidance.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,Historical research snapshot.
docs/analysis_reports/MARKET_RESEARCH_STRATEGY_2026.md,docs,doc,tracked,Historical analysis report; not promoted by docs/README.md as canonical execution guidance.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,Historical research snapshot.
docs/analysis_reports/PHAN_TICH_FLOW_DAU_VAO.md,docs,doc,tracked,Historical analysis report; not promoted by docs/README.md as canonical execution guidance.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,Historical research snapshot.
docs/templates/scan-demo-rehearsal-template.md,docs,template,tracked,Referenced by scan-demo docs and release evidence workflows.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
docs/templates/scan-demo-uat-cases.csv,docs,template,tracked,Referenced by scan-demo docs and release evidence workflows.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
docs/templates/scan-demo-uat-report-template.md,docs,template,tracked,Referenced by scan-demo docs and release evidence workflows.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
docs/yolo11-upgrade-research.md,docs,doc,tracked,Tracked doc outside the canonical docs/README shortlist; review owner and current usage before moving.,mtime:2026-04-16,medium,VERIFY_FIRST,medium,"Search runtime, import, script, and doc ownership before deleting or moving.",No extra cleanup note.
eatfitai-backend/.dockerignore,backend,file,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/.gitignore,backend,file,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Contracts/NutritionDtos.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AIController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AIReviewController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AdminAIController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AdminAILogController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AdminAuditController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AdminAuthController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AdminController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AdminMasterDataController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AdminMealController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AdminRuntimeController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AnalyticsController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/AuthController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/FavoritesController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/FoodController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/GoogleAuthController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/HealthController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-17,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/MealDiaryController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/NutritionController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/SummaryController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/UserController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/UserFoodItemsController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/UserPreferenceController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/VoiceController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/Controllers/WaterIntakeController.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-18,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DEV-RUN-GUIDE.md,backend,doc,tracked,Referenced in assistant memory as an older backend runbook with drift risk versus root setup docs.,mtime:2026-04-16,medium,VERIFY_FIRST,medium,"Search runtime, import, script, and doc ownership before deleting or moving.",No extra cleanup note.
eatfitai-backend/DTOs/AI/AiCorrectionDtos.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/AI/AiHealthDtos.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/AI/AiVisionDtos.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/AI/DetectVisionRequest.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/AI/EnhancedVisionDtos.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/AI/NutritionInsightDtos.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/AI/RecalculateTargetRequest.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/AI/RecipeSuggestionDtos.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/AI/TeachLabelRequestDto.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/AIReviewDto.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/Admin/AdminAuditDtos.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
eatfitai-backend/DTOs/Admin/AdminDto.cs,backend,source,tracked,Compiled by the ASP.NET Core project or consumed by the test project.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
