"Id","Code","Name","Deliverable","Owner","Priority","Phase","Status","Source"
"36a77291-449d-81ff-a356-f9561a1199f5","P3-FE.03","[P3-FE.03] Voice đi qua Backend proxy","0 direct :5050 call từ mobile","Lê Chí Tường","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81d8-8080-f5c8bef42b5f","P3-FE.04","[P3-FE.04] UI Sửa lỗi AI (TeachLabel flow)","Correction log vào DB thành công","Lê Chí Tường","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-818f-8e2b-e24b5769444a","P3-FE.05","[P3-FE.05] Quick Add Hub (Search/Scan/Voice)","≤3 bước từ Home đến Save","Lê Chí Tường","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8173-a06e-e934af1d39c2","P3-FE.06","[P3-FE.06] Fallback UI khi AI offline","App không crash khi tắt AI","Lê Chí Tường","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8104-8817-e03f5972e597","P3-FE.07","[P3-FE.07] Error Boundary + Crash Recovery","Error screen hiện + nút retry hoạt động","Lê Chí Tường","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-818f-abc6-dd6e717c0136","P3-FE.08","[P3-FE.08] Privacy Policy Screen nội dung đầy đủ","Màn Privacy Policy có nội dung đầy đủ","Lê Chí Tường","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81f1-989a-e81085e66182","P3-FE.09","[P3-FE.09] Food Search Recovery UX + Manual Logging Pass","Search fallback hiện có evidence: cloud search 4/4 pass và smoke UI add-from-search vào diary screen pass. Còn thiếu lane Food Detail -> Add to Diary -> readback lặp >=3 lần để đóng task.","Đinh Công Hiếu","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8108-aa91-f6fde8a19f91","P3-FE.10","[P3-FE.10] Auth Continuity Fixes","needsOnboarding + resend verification hoạt động đúng; login -> onboarding -> complete -> relaunch đã pass trên emulator","Đinh Công Hiếu","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81bf-9ca2-ed1c6c2001b8","P4-AI.01","[P4-AI.01] Structured JSON Output cho LLM","100% LLM response là valid JSON","","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-8114-be24-e18dc0c560ca","P4-AI.02","[P4-AI.02] AI Health State Machine (HEALTHY/DOWN)","Mobile đã dùng contract health thật; onboarding không còn timeout sai lane AI, scan screen có status badge, voice proxy khi AI fallback trả review reason rõ thay vì Network Error mơ hồ.","Cả hai","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-81fe-935d-f1a14f2116b6","P4-AI.03","[P4-AI.03] Benchmark YOLOv8 với ảnh Việt","Đã có training scripts, master_classes, scan-demo fixtures và benchmark smoke; còn thiếu bộ test ảnh Việt đủ phủ và báo cáo benchmark định lượng để đóng task.","Đinh Công Hiếu","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-81c0-bd99-d661289ecabe","P4-AI.04","[P4-AI.04] Data Pipeline & Train/Val/Test Split","Đã có 1_download_data.py, 2_merge_dataset.py, 3_train_eatfit_v2.py, master_classes.json và data_sources.md; còn thiếu split manifest/train-val-test chuẩn hóa và evidence tái lập.","Đinh Công Hiếu","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-8180-a914-fc5c5ab3056d","P4-AI.05","[P4-AI.05] Active Learning Correction API","AiCorrectionEvent + POST/GET corrections API + teachLabel telemetry + integration tests + Enable RLS cho AiCorrectionEvent (liên kết P3-CLOUD.02)","Đinh Công Hiếu","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-819e-9875-e64bf42e5531","P4-AI.06","[P4-AI.06] Gemini STT/Multimodal Integration (thay PhoWhisper)","Gemini STT endpoint hoạt động trên cloud. Production dùng Gemini API thay PhoWhisper. Transcribe <3s, hỗ trợ tiếng Việt.","","P1 (High)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-814a-b530-ffac21c9011c","P4-AI.07","[P4-AI.07] Giải thích kết quả AI","Màn giải thích AI hiện được","","P2 (Medium)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-8181-89bc-e597704bc494","P4-AI.08","[P4-AI.08] Voice Quality Gate + Telemetry Baseline","Đã có smoke/regression scripts và metrics baseline cho voice/text lanes; còn thiếu STT-enabled cloud telemetry và quality gate cuối để khóa task.","Cả hai","P1 (High)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-8114-960a-d04d78b498f6","P4-AI.09","[P4-AI.09] Gemini Key Pool Failover + Rotation Ops","Đã có gemini_pool failover, quota rotation, reencryption tooling, security ops script và test; còn thiếu chốt runbook vận hành/monitoring để đóng task.","Đinh Công Hiếu","P1 (High)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-8173-8377-c76fefd0e3ad","P4-AI.10","[P4-AI.10] Nghiên cứu So sánh YOLOv8 vs YOLO11 — Benchmark Khoa học","docs/16_YOLO11_BENCHMARK_COMPARISON.md + bảng so sánh cho báo cáo. Benchmark YOLOv8s vs YOLO11s trên cùng 30,896 ảnh: mAP50, mAP50-95, inference time, model size, RAM. Test CPU-only trên Render. Format paper-ready.","Đinh Công Hiếu","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-81c3-a7f2-ca856e0acdbe","P4-AI.11","[P4-AI.11] Full Migration YOLOv8 → YOLO11 trước Bảo vệ","Model YOLO11 trained + deployed trên production. Branch feature/yolo11-upgrade, update requirements.txt (ultralytics hỗ trợ YOLO11), retrain cùng dataset/hyperparams, export best_yolo11.pt, deploy Render, rollback plan nếu kém hơn.","Đinh Công Hiếu","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-8161-8fa5-e6a74c8a4c19","P4-AI.12","[P4-AI.12] Test Set Evaluation & Scientific Report (YOLOv8 + YOLO11)","docs/17_TEST_SET_EVALUATION_REPORT.md + confusion matrix. Chạy model.val() trên test set (2,749 ảnh) cho cả YOLOv8 và YOLO11. Xuất confusion matrix, precision-recall curve, per-class AP. So sánh test vs validation → evidence không overfit. Format chuẩn báo cáo khoa học.","Đinh Công Hiếu","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-81f4-b1b8-eed59290e690","P4-FE.01","[P4-FE.01] Confidence-gated flow (buộc confirm)","Modal xác nhận khi confidence<0.6","","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-81f9-bc78-e7a697c46b55","P4-FE.02","[P4-FE.02] Cải thiện Profile + Fix Avatar Upload","Cloud POST /api/profile/avatar hiện 200 và profile readback giữ avatarUrl sau upload. Flow profile/avatar không còn 404 giả trên cloud contract probe.","Đinh Công Hiếu","P1 (High)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-815d-882a-c85c671d44cc","P4-FE.03","[P4-FE.03] Rà soát UI/UX toàn app & Fix lỗi","UI/UX audit đã chạm Voice, AI Scan, Profile/Body Metrics, Food Search/Detail, Recipe và Notifications; còn thiếu smoke/rehearsal cuối để chốt 7 flows smooth, 0 crash.","Lê Chí Tường","P1 (High)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-8104-8e34-cbdd9927c5f5","P4-FE.04","[P4-FE.04] UI Biểu đồ Benchmark cho Báo cáo","Visual benchmark rõ ràng","","P2 (Medium)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-816c-9ea4-d8bae2eec877","P4-FE.05","[P4-FE.05] Gemini-based Smart Parser (thay Hybrid Rule-first)","Gemini API xử lý parsing trực tiếp thay vì hybrid rule-first + LLM. Test 50 câu, JSON chuẩn.","","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-817c-8708-c838b9619ae7","P4-FE.06","[P4-FE.06] Onboarding Fallback formula khi AI down","Onboarding hoàn thành 100% khi AI off","Đinh Công Hiếu","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-8116-b6b5-c91b957583f9","P4-FE.07","[P4-FE.07] Barcode Scanner tìm thực phẩm đóng gói","Scan barcode → hiện food detail","Đinh Công Hiếu","P2 (Medium)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-8166-a903-c06cbdba3276","P4-FE.08","[P4-FE.08] Water Tracking (Theo dõi nước uống)","Đã có WaterIntake model/controller/schema + waterService + Home/Stats UI; còn thiếu smoke/readback ổn định và polish UX để đóng task.","Lê Chí Tường","P1 (High)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-817d-8f6f-df84362da1ea","P4-FE.09","[P4-FE.09] Natural Language Text Input (""thêm 2 trứng"")","Nhập text → parse → diary chuẩn","","P2 (Medium)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-818b-8383-eee178ff5f0a","P4-FE.10","[P4-FE.10] Voice Beta UX: Preview Before Save + Explicit Confirm","VoiceScreen đã được refresh lớn và service đã fallback an toàn khi STT disabled; còn thiếu luồng preview/confirm trước save khi cloud STT hoạt động.","Cả hai","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-813d-aa9d-ee5bf41cae7e","P4-FE.11","[P4-FE.11] AI Scan Review/Replace Flow bằng Search","AI Scan UI đã có đợt refresh lớn, IngredientBasket và hero ai-scan-save lane đã có; còn thiếu full smoke scan -> review/replace -> save -> diary readback.","Cả hai","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-812d-855b-df4ba7dde04f","P4-FE.12","[P4-FE.12] Recent Meals / Repeat Logging","Có thể log lại món hoặc bữa gần đây trong tối đa 2 thao tác","Đinh Công Hiếu","P1 (High)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-81cb-b4d8-fc7461585b83","P5-01","[P5-01] Thu thập & Dán nhãn ảnh món Việt (≥1k)",".zip ≥1000 ảnh YOLO format","","P0 (Critical)","P5 — Kiểm thử & Đánh giá","Hoàn thành",""
"36a77291-449d-81b7-8b32-e0dc995ab5aa","P5-02","[P5-02] Viết Test Cases + UAT (≥25 cases, ≥5 user)","Đã có templates, production smoke lanes và auth/onboarding evidence; còn thiếu UAT với >=5 user thật và tổng hợp kết quả theo mẫu.","Cả hai","P0 (Critical)","P5 — Kiểm thử & Đánh giá","Hoàn thành",""
"36a77291-449d-810e-a772-eb27ef9e403c","P5-03","[P5-03] AI Regression Test Set (ảnh + voice)","Đã có regression coverage cho auth/api/user/ai/voice/meal/summary/googleAuth/localDate và các script smoke mới; còn thiếu full green cho scan/nutrition và rerun real-device hoặc cloud.","Cả hai","P0 (Critical)","P5 — Kiểm thử & Đánh giá","Hoàn thành",""
"36a77291-449d-8179-bb58-e84fac425f3d","P5-04","[P5-04] Rehearsal Demo 3 kịch bản rủi ro","Đã có 1 session emulator pass cho register -> verify -> onboarding -> reopen. Rehearsal summary toàn bộ vẫn fail vì latest three chưa all-pass, risk scenarios/evidence chưa đủ.","Cả hai","P0 (Critical)","P5 — Kiểm thử & Đánh giá","Hoàn thành",""
