candidate_name,decision,append_to_taxonomy,existing_canonical_class,images,instances,eligible_images,eligible_instances,source_count,eligible_source_count,sources,eligible_sources,raw_labels,dominant_candidate_origin,hold_reasons,targeted_collection_lanes,decision_reason
cilantro_mint,priority_accept,True,,900,900,900,900,1,1,fontainenathan/foodseg103,fontainenathan/foodseg103,cilantro mint,segmentation_or_mask,,,detection_priority_images
pasta,priority_accept,True,,1500,1516,831,839,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,pasta|pasta-spaghetti,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
steak,accept,True,,3065,3065,1065,1065,3,1,fontainenathan/foodseg103|kmader/food41|shanemarvinmay/food-image-dataset,fontainenathan/foodseg103,steak,classification_pseudo_box_review,source_decision:HOLD_CLASSIFICATION_ONLY|source_decision:HOLD_DUPLICATE_ADAPTER_REQUIRED,,classification_accept_images
ice_cream,accept,True,,3413,3610,913,913,4,1,fontainenathan/foodseg103|kmader/food41|shanemarvinmay/food-image-dataset|youssefahmed003/junk-food-object-detection-dataset-yolo-format,fontainenathan/foodseg103,Ice_Cream|ice cream|ice_cream,classification_pseudo_box_review,source_decision:HOLD_CLASSIFICATION_ONLY|source_decision:HOLD_DUPLICATE_ADAPTER_REQUIRED|source_decision:HOLD_OVERLAP_ONLY,,classification_accept_images
potatoes_steamed,accept,True,,1304,1370,652,685,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,potatoes-steamed,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
french_beans,accept,True,,880,884,627,629,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,French beans|french-beans,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
pie,accept,True,,558,558,558,558,1,1,fontainenathan/foodseg103,fontainenathan/foodseg103,pie,segmentation_or_mask,,,detection_accept_images_or_instances
cake,accept,True,,459,459,459,459,1,1,fontainenathan/foodseg103,fontainenathan/foodseg103,cake,segmentation_or_mask,,,detection_accept_images_or_instances
pepper,accept,True,,436,436,436,436,1,1,fontainenathan/foodseg103,fontainenathan/foodseg103,pepper,segmentation_or_mask,,,detection_accept_images_or_instances
pear,accept,True,,656,1630,406,1375,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,pear,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
grape,accept,True,,399,6632,399,6632,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,grape,yolo_detection,,,detection_accept_images_or_instances
zucchini,accept,True,,782,804,391,402,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,zucchini,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
sausage,accept,True,,489,495,369,372,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,sausage,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
chips_french_fries,accept,True,,726,734,363,367,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,chips-french-fries,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
braided_white_loaf,accept,True,,702,708,351,354,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,braided-white-loaf,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
blueberry,accept,True,,344,3373,344,3373,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,blueberry,segmentation_or_mask,,,detection_accept_images_or_instances
asparagus,accept,True,,335,1241,335,1241,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,asparagus,segmentation_or_mask,,,detection_accept_images_or_instances
cherry,accept,True,,299,1115,299,1115,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,cherry,segmentation_or_mask,,,detection_accept_images_or_instances
peach,accept,True,,349,1344,256,1242,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,peach,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
pickle,accept,True,,221,632,221,632,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,pickle,yolo_detection,,,detection_accept_images_or_instances
raspberry,accept,True,,156,998,156,998,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,raspberry,yolo_detection,,,detection_accept_images_or_instances
almond,accept,True,,155,1799,155,1799,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,almond,segmentation_or_mask,,,detection_accept_images_or_instances
watermelon,accept,True,,151,851,151,851,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,watermelon,yolo_detection,,,detection_accept_images_or_instances
celery,accept,True,,182,983,146,947,3,2,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset,celery,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
edible_corn_corn_maize,accept,True,,136,1916,136,1916,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,edible corn/corn/maize,yolo_detection,,,detection_accept_images_or_instances
green_bean,accept,True,,126,2609,126,2609,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,green bean,yolo_detection,,,detection_accept_images_or_instances
green_onion_spring_onion_scallion,accept,True,,102,1619,102,1619,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,green onion/spring onion/scallion,yolo_detection,,,detection_accept_images_or_instances
kiwi_fruit,accept,True,,91,722,91,722,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,kiwi fruit,yolo_detection,,,detection_accept_images_or_instances
zucchini_courgette,accept,True,,89,830,89,830,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,zucchini/courgette,yolo_detection,,,detection_accept_images_or_instances
pea_pea_food,accept,True,,77,1870,77,1870,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,pea/pea food,yolo_detection,,,detection_accept_images_or_instances
radish_daikon,accept,True,,54,549,54,549,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,radish/daikon,yolo_detection,,,detection_accept_images_or_instances
brussels_sprouts,accept,True,,37,590,37,590,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,brussels sprouts,yolo_detection,,,detection_accept_images_or_instances
tomato,existing,False,tomato,6223,17540,4298,15572,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,Tomato|tomato|tomato-raw,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
carrot,existing,False,carrot,5535,22474,4026,20943,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,carrot|carrot-raw,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
broccoli,existing,False,broccoli,3192,14091,2761,13650,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,broccoli,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
banana,existing,False,banana,3297,52269,2636,51526,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,banana,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
rice,existing,False,rice,2766,2782,1718,1726,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,rice,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
cucumber,existing,False,cucumber,2317,3705,1549,2922,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,cucumber|cucumber/cuke,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
onion,existing,False,onion,1780,10965,1482,10656,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,onion,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
potato,existing,False,potato,1398,5484,1398,5484,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,potato,segmentation_or_mask,,,base_taxonomy_class
egg,existing,False,egg,2362,2472,1327,1382,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,egg,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
orange,existing,False,orange,1544,13818,1314,13566,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,orange|orange/orange fruit,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
bell_pepper,existing,False,bell_pepper,1481,5661,913,5070,3,2,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset,bell pepper/capsicum|bell-pepper-red-raw,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
pork,existing,False,pork,877,877,773,773,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,pork,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
avocado,existing,False,avocado,1187,2145,698,1645,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,avocado,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
corn,existing,False,corn,854,856,671,672,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,corn,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
mushroom,existing,False,mushroom,746,6609,577,6435,3,2,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset,mushroom,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
cauliflower,existing,False,cauliflower,746,1672,557,1475,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,cauliflower,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
fish,existing,False,fish,665,669,509,511,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,fish,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
pineapple,existing,False,pineapple,496,1948,407,1858,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,pineapple,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
chicken,existing,False,chicken,770,776,385,388,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,chicken,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
com_tam,existing,False,com_tam,12925,14901,330,330,9,2,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|kyoru4444/foodlensvn|lenguyentrung/vietnamese-food|meowluvmatcha/vnfood-30-100|phvngtngtm/foodlensvn|quandang/vietnamese-foods|thomasnguyen6868/vietfood68|trungquncao/vietnamese-food,karos2504/100-vietnamese-food|trungquncao/vietnamese-food,Com tam|com tam|com-tam|com_tam,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE|source_decision:HOLD_PROVENANCE_SAMPLE_ONLY,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
tofu,existing,False,tofu,548,562,308,315,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,tofu,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
banh_da_lon,existing,False,banh_da_lon,856,856,278,278,3,1,karos2504/100-vietnamese-food|meowluvmatcha/vnfood-30-100|nguyentrongdai/vietnamese-foods-dataset,karos2504/100-vietnamese-food,banh-da-lon|banh_da_lon,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_LICENSE,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
salmon,existing,False,salmon,550,554,275,277,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,salmon,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
noodles,existing,False,noodles,852,882,262,262,2,1,fontainenathan/foodseg103|youssefahmed003/junk-food-object-detection-dataset-yolo-format,fontainenathan/foodseg103,noodles,yolo_detection,source_decision:HOLD_OVERLAP_ONLY,,base_taxonomy_class
banh_bo,existing,False,banh_bo,824,824,262,262,3,1,karos2504/100-vietnamese-food|meowluvmatcha/vnfood-30-100|nguyentrongdai/vietnamese-foods-dataset,karos2504/100-vietnamese-food,banh-bo|banh_bo,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_LICENSE,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
pumpkin,existing,False,pumpkin,351,1470,260,1377,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,pumpkin,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
bun_rieu,existing,False,bun_rieu,17261,20942,259,259,5,1,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|meowluvmatcha/vnfood-30-100|quandang/vietnamese-foods|thomasnguyen6868/vietfood68,karos2504/100-vietnamese-food,Bun rieu|bun-rieu|bun_rieu,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
sweet_potato,existing,False,sweet_potato,473,604,248,376,3,2,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset,sweet potato|sweet-potato,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
eggplant,existing,False,eggplant,468,474,247,250,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,eggplant,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
banh_mi,existing,False,banh_mi,14949,20272,245,245,9,1,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|kyoru4444/foodlensvn|lenguyentrung/vietnamese-food|meowluvmatcha/vnfood-30-100|nguyentrongdai/vietnamese-foods-dataset|phvngtngtm/foodlensvn|quandang/vietnamese-foods|thomasnguyen6868/vietfood68,karos2504/100-vietnamese-food,Banh mi|banh-mi|banh_mi,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE|source_decision:HOLD_PROVENANCE_SAMPLE_ONLY,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
pho,existing,False,pho,13725,16520,241,241,10,1,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|kmader/food41|kyoru4444/foodlensvn|lenguyentrung/vietnamese-food|meowluvmatcha/vnfood-30-100|phvngtngtm/foodlensvn|quandang/vietnamese-foods|shanemarvinmay/food-image-dataset|thomasnguyen6868/vietfood68,karos2504/100-vietnamese-food,Pho|pho,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_CLASSIFICATION_ONLY|source_decision:HOLD_DUPLICATE_ADAPTER_REQUIRED|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE|source_decision:HOLD_PROVENANCE_SAMPLE_ONLY,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
bun_bo_hue,existing,False,bun_bo_hue,16740,21422,237,237,7,1,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|kyoru4444/foodlensvn|meowluvmatcha/vnfood-30-100|phvngtngtm/foodlensvn|quandang/vietnamese-foods|thomasnguyen6868/vietfood68,karos2504/100-vietnamese-food,Bun bo Hue|bun-bo-hue|bun_bo_hue,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE|source_decision:HOLD_PROVENANCE_SAMPLE_ONLY,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
thit_kho_tau,existing,False,thit_kho,466,466,233,233,2,1,karos2504/100-vietnamese-food|meowluvmatcha/vnfood-30-100,karos2504/100-vietnamese-food,thit-kho-tau|thit_kho_tau,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
banh_xeo,existing,False,banh_xeo,14522,18760,232,232,9,1,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|kyoru4444/foodlensvn|lenguyentrung/vietnamese-food|meowluvmatcha/vnfood-30-100|nguyentrongdai/vietnamese-foods-dataset|phvngtngtm/foodlensvn|quandang/vietnamese-foods|thomasnguyen6868/vietfood68,karos2504/100-vietnamese-food,Banh xeo|banh-xeo|banh_xeo,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE|source_decision:HOLD_PROVENANCE_SAMPLE_ONLY,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
banh_tet,existing,False,banh_tet,2518,2518,230,230,4,1,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|meowluvmatcha/vnfood-30-100|quandang/vietnamese-foods,karos2504/100-vietnamese-food,Banh tet|banh tet|banh-tet,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
sup_cua,existing,False,sup_cua,11042,16300,227,227,3,1,karos2504/100-vietnamese-food|meowluvmatcha/vnfood-30-100|thomasnguyen6868/vietfood68,karos2504/100-vietnamese-food,Sup cua|sup-cua|sup_cua,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
mi_quang,existing,False,mi_quang,14060,17596,226,226,7,1,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|kyoru4444/foodlensvn|meowluvmatcha/vnfood-30-100|phvngtngtm/foodlensvn|quandang/vietnamese-foods|thomasnguyen6868/vietfood68,karos2504/100-vietnamese-food,Mi Quang|Mi quang|mi-quang|mi_quang,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE|source_decision:HOLD_PROVENANCE_SAMPLE_ONLY,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
