candidate_name,decision,append_to_taxonomy,existing_canonical_class,images,instances,eligible_images,eligible_instances,source_count,eligible_source_count,sources,eligible_sources,raw_labels,dominant_candidate_origin,hold_reasons,decision_reason
potatoes_steamed,accept,True,,1304,1370,652,685,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,potatoes-steamed,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
french_beans,accept,True,,880,884,627,629,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,French beans|french-beans,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
lettuce,accept,True,,574,574,574,574,1,1,foodseg103,foodseg103,lettuce,segmentation_or_mask,,detection_accept_images_or_instances
avocado,accept,True,,1059,1081,570,581,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,avocado,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
bell_pepper_red_raw,accept,True,,1136,1182,568,591,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,bell-pepper-red-raw,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
strawberry,accept,True,,560,560,560,560,1,1,foodseg103,foodseg103,strawberry,segmentation_or_mask,,detection_accept_images_or_instances
pie,accept,True,,558,558,558,558,1,1,foodseg103,foodseg103,pie,segmentation_or_mask,,detection_accept_images_or_instances
bread_whole_wheat,accept,True,,1052,1096,526,548,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,bread-whole-wheat,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
orange,accept,True,,713,757,483,505,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,orange,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
cake,accept,True,,459,459,459,459,1,1,foodseg103,foodseg103,cake,segmentation_or_mask,,detection_accept_images_or_instances
pepper,accept,True,,436,436,436,436,1,1,foodseg103,foodseg103,pepper,segmentation_or_mask,,detection_accept_images_or_instances
pasta,accept,True,,694,696,428,429,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,pasta,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
strawberries,accept,True,,848,884,424,442,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,strawberries,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
pasta_spaghetti,accept,True,,806,820,403,410,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,pasta-spaghetti,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
zucchini,accept,True,,782,804,391,402,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,zucchini,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
sausage,accept,True,,489,495,369,372,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,sausage,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
chips_french_fries,accept,True,,726,734,363,367,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,chips-french-fries,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
braided_white_loaf,accept,True,,702,708,351,354,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,braided-white-loaf,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
rice,existing,False,rice,2766,2782,1718,1726,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,rice,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
broccoli,existing,False,broccoli,1875,1895,1444,1454,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,broccoli,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
egg,existing,False,fried_egg,2362,2472,1327,1382,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,egg,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
cucumber,existing,False,cucumber,2069,2099,1301,1316,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,cucumber,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
carrot,existing,False,carrot,1279,1279,1279,1279,1,1,foodseg103,foodseg103,carrot,segmentation_or_mask,,base_taxonomy_class
tomato,existing,False,tomato,1139,1139,1139,1139,1,1,foodseg103,foodseg103,tomato,segmentation_or_mask,,base_taxonomy_class
potato,existing,False,potato,1091,1091,1091,1091,1,1,foodseg103,foodseg103,potato,segmentation_or_mask,,base_taxonomy_class
onion,existing,False,onion,1128,1150,830,841,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,onion,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
pork,existing,False,pork,877,877,773,773,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,pork,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
corn,existing,False,corn,854,856,671,672,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,corn,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
fish,existing,False,fish,665,669,509,511,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,fish,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
cauliflower,existing,False,cauliflower,605,621,416,424,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,cauliflower,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
chicken,existing,False,chicken,770,776,385,388,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,chicken,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
tofu,existing,False,tofu,548,562,308,315,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,tofu,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
banh_da_lon,existing,False,banh_da_lon,556,556,278,278,2,1,100_vietnamese_food|vnfood_30_100,100_vietnamese_food,banh-da-lon|banh_da_lon,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0,base_taxonomy_class
noodles,existing,False,noodles,852,882,262,262,2,1,foodseg103|junk_food_object_detection_dataset_yolo_format,foodseg103,noodles,yolo_detection,source_decision:HOLD_OVERLAP_ONLY,base_taxonomy_class
banh_bo,existing,False,banh_bo,524,524,262,262,2,1,100_vietnamese_food|vnfood_30_100,100_vietnamese_food,banh-bo|banh_bo,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0,base_taxonomy_class
bun_rieu,existing,False,bun_rieu,2820,2820,259,259,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Bun rieu|bun-rieu|bun_rieu,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
eggplant,existing,False,eggplant,468,474,247,250,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,eggplant,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
banh_mi,existing,False,banh_mi,3162,3162,245,245,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh mi|banh-mi|banh_mi,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
pho,existing,False,pho,3096,3096,241,241,4,1,100_vietnamese_food|food41|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Pho|pho,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_CLASSIFICATION_ONLY|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
bun_bo_hue,existing,False,bun_bo_hue,3534,3534,237,237,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Bun bo Hue|bun-bo-hue|bun_bo_hue,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
thit_kho_tau,existing,False,thit_kho,466,466,233,233,2,1,100_vietnamese_food|vnfood_30_100,100_vietnamese_food,thit-kho-tau|thit_kho_tau,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0,base_taxonomy_class
banh_xeo,existing,False,banh_xeo,2810,2810,232,232,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh xeo|banh-xeo|banh_xeo,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
com_tam,existing,False,com_tam,2344,2344,230,230,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Com tam|com-tam|com_tam,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
banh_tet,existing,False,banh_tet,1832,1832,230,230,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh tet|banh tet|banh-tet,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
sup_cua,existing,False,sup_cua,454,454,227,227,2,1,100_vietnamese_food|vnfood_30_100,100_vietnamese_food,sup-cua|sup_cua,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0,base_taxonomy_class
banh_cuon,existing,False,banh_cuon,2732,2732,226,226,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh cuon|banh-cuon|banh_cuon,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
mi_quang,existing,False,mi_quang,2220,2220,226,226,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Mi quang|mi-quang|mi_quang,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
sweet_potato,existing,False,sweet_potato,450,456,225,228,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,sweet-potato,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
cao_lau,existing,False,cao_lau,1678,1678,221,221,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Cao lau|cao-lau|cao_lau,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
banh_cong,existing,False,banh_cong,442,442,221,221,2,1,100_vietnamese_food|vnfood_30_100,100_vietnamese_food,banh-cong|banh_cong,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0,base_taxonomy_class
goi_cuon,existing,False,goi_cuon,2140,2140,215,215,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Goi cuon|goi-cuon|goi_cuon,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
banh_beo,existing,False,banh_beo,1718,1718,214,214,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh beo|banh-beo|banh_beo,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
banh_canh,existing,False,banh_canh,2348,2348,210,210,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh canh|banh-canh|banh_canh,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
chao_long,existing,False,chao_long,2560,2560,207,207,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Chao long|chao-long|chao_long,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
banh_bot_loc,existing,False,banh_bot_loc,1854,1854,207,207,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh bot loc|banh-bot-loc|banh_bot_loc,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
hu_tieu,existing,False,hu_tieu,2374,2374,204,204,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Hu tieu|hu-tieu|hu_tieu,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
banh_khot,existing,False,banh_khot,2076,2076,203,203,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh khot|banh-khot|banh_khot,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
banh_chung,existing,False,banh_chung,1412,1412,200,200,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh chung|banh-chung|banh_chung,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
bun_mam,existing,False,bun_mam,1944,1944,199,199,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Bun mam|bun-mam|bun_mam,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
banh_can,existing,False,banh_can,1886,1886,199,199,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh can|banh-can|banh_can,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
spring_onion,existing,False,green_onion,190,190,190,190,1,1,foodseg103,foodseg103,spring onion,segmentation_or_mask,,base_taxonomy_class
bun_cha,existing,False,bun_cha,376,376,188,188,2,1,100_vietnamese_food|vnfood_30_100,100_vietnamese_food,bun-cha|bun_cha,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0,base_taxonomy_class
bo_kho,existing,False,bo_kho,368,368,184,184,2,1,100_vietnamese_food|vnfood_30_100,100_vietnamese_food,bo-kho|bo_kho,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0,base_taxonomy_class
pumpkin,existing,False,pumpkin,270,274,179,181,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,pumpkin,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
banh_duc,existing,False,banh_duc,1662,1662,169,169,3,1,100_vietnamese_food|vietnamese_foods|vnfood_30_100,100_vietnamese_food,Banh duc|banh-duc|banh_duc,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK,base_taxonomy_class
mushroom,existing,False,mushroom,338,348,169,174,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,mushroom,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
chicken_breast,existing,False,chicken,304,310,152,155,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,chicken-breast,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
shrimp,existing,False,shrimp,144,144,144,144,1,1,foodseg103,foodseg103,shrimp,segmentation_or_mask,,base_taxonomy_class
garlic,existing,False,garlic,183,183,138,138,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,garlic,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
cabbage,existing,False,cabbage,127,127,127,127,1,1,foodseg103,foodseg103,cabbage,segmentation_or_mask,,base_taxonomy_class
leek,existing,False,leek,252,260,126,130,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,leek,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
beef,existing,False,beef,248,258,124,129,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,beef,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
peas,existing,False,peas,218,218,109,109,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,peas,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
soup,existing,False,canh,89,89,89,89,1,1,foodseg103,foodseg103,soup,segmentation_or_mask,,base_taxonomy_class
chicken_wing,existing,False,chicken,66,68,33,34,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,chicken-wing,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,base_taxonomy_class
ginger,existing,False,ginger,31,31,31,31,1,1,foodseg103,foodseg103,ginger,segmentation_or_mask,,base_taxonomy_class
crab,existing,False,crab,20,20,20,20,1,1,foodseg103,foodseg103,crab,segmentation_or_mask,,base_taxonomy_class
bo_la_lot,existing,False,bo_la_lot,1147,1147,0,0,1,0,vnfood_30_100,,bo-la-lot,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0,base_taxonomy_class
fried_rice,existing,False,fried_rice,1000,1000,0,0,1,0,food41,,fried_rice,classification_pseudo_box_review,source_decision:HOLD_CLASSIFICATION_ONLY,base_taxonomy_class
spring_rolls,existing,False,cha_gio,1000,1000,0,0,1,0,food41,,spring_rolls,classification_pseudo_box_review,source_decision:HOLD_CLASSIFICATION_ONLY,base_taxonomy_class
dark_chocolate,hold_more_data,False,,674,794,337,397,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,dark-chocolate,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
pizza_margherita_baked,hold_more_data,False,,640,670,320,335,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,pizza-margherita-baked,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
mayonnaise,hold_more_data,False,,638,650,319,325,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,mayonnaise,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
blueberries,hold_more_data,False,,610,624,305,312,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,blueberries,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
biscuit,hold_more_data,False,,295,295,295,295,1,1,foodseg103,foodseg103,biscuit,segmentation_or_mask,,detection_below_accept_threshold
pear,hold_more_data,False,,544,554,294,299,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,pear,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
salami,hold_more_data,False,,576,600,288,300,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,salami,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
leaf_spinach,hold_more_data,False,,562,572,281,286,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,leaf-spinach,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
salmon,hold_more_data,False,,550,554,275,277,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,salmon,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
soft_cheese,hold_more_data,False,,548,564,274,282,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,soft-cheese,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
water_mineral,hold_more_data,False,,544,840,272,420,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,water-mineral,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
gruyere,hold_more_data,False,,536,556,268,278,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,gruyere,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
yaourt_yahourt_yogourt_ou_yoghourt_natural,hold_more_data,False,,530,544,265,272,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,yaourt-yahourt-yogourt-ou-yoghourt-natural,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
asparagus,hold_more_data,False,,264,264,264,264,1,1,foodseg103,foodseg103,asparagus,segmentation_or_mask,,detection_below_accept_threshold
glucose_drink_50g,hold_more_data,False,,526,582,263,291,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,glucose-drink-50g,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
mixed_nuts,hold_more_data,False,,524,578,262,289,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,mixed-nuts,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
almonds,hold_more_data,False,,520,632,260,316,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,almonds,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
black_olives,hold_more_data,False,,510,524,255,262,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,black-olives,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
red_radish,hold_more_data,False,,508,522,254,261,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,red-radish,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
kiwi,hold_more_data,False,,447,519,249,285,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,kiwi,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
herbal_tea,hold_more_data,False,,492,548,246,274,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,herbal-tea,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
juice_orange,hold_more_data,False,,492,542,246,271,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,juice-orange,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
salmon_smoked,hold_more_data,False,,492,502,246,251,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,salmon-smoked,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_below_accept_threshold
