candidate_name,decision,append_to_taxonomy,existing_canonical_class,images,instances,eligible_images,eligible_instances,source_count,eligible_source_count,sources,eligible_sources,raw_labels,dominant_candidate_origin,hold_reasons,targeted_collection_lanes,decision_reason
leaf_spinach,accept,True,,649,659,368,373,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,leaf-spinach,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
mayonnaise,accept,True,,681,693,362,368,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,mayonnaise,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
water_mineral,accept,True,,630,926,358,506,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,water-mineral,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
braided_white_loaf,accept,True,,702,708,351,354,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,braided-white-loaf,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
blueberry,accept,True,,344,3373,344,3373,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,blueberry,segmentation_or_mask,,,detection_accept_images_or_instances
asparagus,accept,True,,335,1241,335,1241,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,asparagus,segmentation_or_mask,,,detection_accept_images_or_instances
cherry,accept,True,,299,1115,299,1115,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,cherry,segmentation_or_mask,,,detection_accept_images_or_instances
peach,accept,True,,349,1344,256,1242,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,peach,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
pickle,accept,True,,249,660,249,660,2,2,bjoernjostein/food-classification|henningheyen/lvis-fruits-and-vegetables-dataset,bjoernjostein/food-classification|henningheyen/lvis-fruits-and-vegetables-dataset,pickle,yolo_detection,,,detection_accept_images_or_instances
raspberry,accept,True,,156,998,156,998,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,raspberry,yolo_detection,,,detection_accept_images_or_instances
almond,accept,True,,155,1799,155,1799,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,almond,segmentation_or_mask,,,detection_accept_images_or_instances
watermelon,accept,True,,151,851,151,851,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,watermelon,yolo_detection,,,detection_accept_images_or_instances
celery,accept,True,,182,983,146,947,3,2,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset,celery,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
edible_corn_corn_maize,accept,True,,136,1916,136,1916,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,edible corn/corn/maize,yolo_detection,,,detection_accept_images_or_instances
green_bean,accept,True,,126,2609,126,2609,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,green bean,yolo_detection,,,detection_accept_images_or_instances
green_onion_spring_onion_scallion,accept,True,,102,1619,102,1619,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,green onion/spring onion/scallion,yolo_detection,,,detection_accept_images_or_instances
kiwi_fruit,accept,True,,91,722,91,722,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,kiwi fruit,yolo_detection,,,detection_accept_images_or_instances
zucchini_courgette,accept,True,,89,830,89,830,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,zucchini/courgette,yolo_detection,,,detection_accept_images_or_instances
pea_pea_food,accept,True,,77,1870,77,1870,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,pea/pea food,yolo_detection,,,detection_accept_images_or_instances
radish_daikon,accept,True,,54,549,54,549,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,radish/daikon,yolo_detection,,,detection_accept_images_or_instances
brussels_sprouts,accept,True,,37,590,37,590,1,1,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,brussels sprouts,yolo_detection,,,detection_accept_images_or_instances
tomato,existing,False,tomato,6581,17898,4656,15930,5,4,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,Tomato|tomato|tomato-raw,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
carrot,existing,False,carrot,5832,22771,4323,21240,5,4,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,carrot|carrot-raw,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
broccoli,existing,False,broccoli,3276,14175,2845,13734,5,4,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,broccoli,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
banana,existing,False,banana,3478,52450,2817,51707,5,4,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,banana,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
rice,existing,False,rice,4615,4631,1974,1982,6,3,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|rkuo2000/uecfood256|sainikhileshreddy/food-recognition-2022|zachaluza/cnfood-241,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103,Rice|rice,annotation_category_review,private_or_noncommercial_license:cc-by-nc-3.0|source_decision:HOLD_LICENSE|source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
cucumber,existing,False,cucumber,2424,3812,1656,3029,5,4,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,cucumber|cucumber/cuke,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
egg,existing,False,egg,2571,2681,1536,1591,4,3,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103,egg,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
onion,existing,False,onion,1821,11006,1523,10697,5,4,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,onion,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
potato,existing,False,potato,1398,5484,1398,5484,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,potato,segmentation_or_mask,,,base_taxonomy_class
orange,existing,False,orange,1544,13818,1314,13566,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,orange|orange/orange fruit,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
fried_rice,existing,False,fried_rice,4160,4168,924,932,5,1,kmader/food41|raahimshah/desi-food-dataset-annotated|rkuo2000/uecfood256|shanemarvinmay/food-image-dataset|zachaluza/cnfood-241,raahimshah/desi-food-dataset-annotated,fried rice|fried-rice|fried_rice,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-3.0|source_decision:HOLD_CLASSIFICATION_ONLY|source_decision:HOLD_DUPLICATE_ADAPTER_REQUIRED|source_decision:HOLD_LICENSE,,base_taxonomy_class
bell_pepper,existing,False,bell_pepper,1481,5661,913,5070,3,2,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset,bell pepper/capsicum|bell-pepper-red-raw,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
avocado,existing,False,avocado,1275,2233,786,1733,5,4,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,avocado,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
pork,existing,False,pork,877,877,773,773,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,pork,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
corn,existing,False,corn,891,893,708,709,4,3,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103,corn,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
mushroom,existing,False,mushroom,746,6609,577,6435,3,2,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|henningheyen/lvis-fruits-and-vegetables-dataset,mushroom,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
cauliflower,existing,False,cauliflower,746,1672,557,1475,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,cauliflower,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
fish,existing,False,fish,665,669,509,511,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,fish,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
chicken,existing,False,chicken,876,882,491,494,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,chicken,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
pineapple,existing,False,pineapple,496,1948,407,1858,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,pineapple,yolo_detection,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
banh_mi,existing,False,banh_mi,15109,20432,405,405,10,2,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|kyoru4444/foodlensvn|lenguyentrung/vietnamese-food|meowluvmatcha/vnfood-30-100|nguyentrongdai/vietnamese-foods-dataset|nikolasgegenava/popular-street-foods|phvngtngtm/foodlensvn|quandang/vietnamese-foods|thomasnguyen6868/vietfood68,karos2504/100-vietnamese-food|nikolasgegenava/popular-street-foods,Banh mi|banh-mi|banh_mi|bánh_mì,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE|source_decision:HOLD_PROVENANCE_SAMPLE_ONLY,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
com_tam,existing,False,com_tam,12925,14901,330,330,9,2,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|kyoru4444/foodlensvn|lenguyentrung/vietnamese-food|meowluvmatcha/vnfood-30-100|phvngtngtm/foodlensvn|quandang/vietnamese-foods|thomasnguyen6868/vietfood68|trungquncao/vietnamese-food,karos2504/100-vietnamese-food|trungquncao/vietnamese-food,Com tam|com tam|com-tam|com_tam,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE|source_decision:HOLD_PROVENANCE_SAMPLE_ONLY,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
salmon,existing,False,salmon,601,605,326,328,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,salmon,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
tofu,existing,False,tofu,548,562,308,315,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,tofu,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
banh_da_lon,existing,False,banh_da_lon,856,856,278,278,3,1,karos2504/100-vietnamese-food|meowluvmatcha/vnfood-30-100|nguyentrongdai/vietnamese-foods-dataset,karos2504/100-vietnamese-food,banh-da-lon|banh_da_lon,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_LICENSE,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
noodles,existing,False,noodles,852,882,262,262,2,1,fontainenathan/foodseg103|youssefahmed003/junk-food-object-detection-dataset-yolo-format,fontainenathan/foodseg103,noodles,yolo_detection,source_decision:HOLD_OVERLAP_ONLY,,base_taxonomy_class
banh_bo,existing,False,banh_bo,824,824,262,262,3,1,karos2504/100-vietnamese-food|meowluvmatcha/vnfood-30-100|nguyentrongdai/vietnamese-foods-dataset,karos2504/100-vietnamese-food,banh-bo|banh_bo,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_LICENSE,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
pumpkin,existing,False,pumpkin,351,1470,260,1377,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,pumpkin,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,base_taxonomy_class
bun_rieu,existing,False,bun_rieu,17261,20942,259,259,5,1,karos2504/100-vietnamese-food|keno31/vietnaemese-food-dataset|meowluvmatcha/vnfood-30-100|quandang/vietnamese-foods|thomasnguyen6868/vietfood68,karos2504/100-vietnamese-food,Bun rieu|bun-rieu|bun_rieu,yolo_detection,private_or_noncommercial_license:cc-by-nc-sa-4.0|source_decision:HOLD_DUPLICATE_CHECK|source_decision:HOLD_LICENSE,VIETNAMESE_DISH_EXPANSION,base_taxonomy_class
