source_slug,zip_name,audit_run,source_state,clean_tier,license_state,image_count,class_count,audit_decision,quality_notes,required_filters,next_action
food_kcmrd,04_food_kcmrd.zip,oauth_full23_v11,cached_audited,ingredient_cherry_pick,cc_by_4_or_manifest_claim,10858,78,ACCEPT_FILTERED,Strong ingredient/protein/vegetable supplement; sample grid looks aligned for ingredients. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Duplicate label rows require cleanup.,dedupe exact label rows; keep ingredient/protein classes mapped to taxonomy only,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
thai_food,12_thai_food.zip,oauth_full23_v11,cached_audited,asian_supplement_cherry_pick,unverified,10183,19,ACCEPT_FILTERED,Neighboring cuisine source with clean-looking food boxes; useful only for overlapping target classes. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Segmentation rows require bbox conversion.,convert_segment_rows_to_bbox; keep overlapping food classes only; avoid cuisine dilution,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
uecfood256,07_uecfood256.zip,oauth_full23_v11,cached_audited,broad_supplement_cherry_pick,unverified,76300,253,ACCEPT_FILTERED,Large broad Asian food source; useful for coverage but too many classes for full merge. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Duplicate label rows require cleanup.,drop all unmapped classes; cap per-class samples; do not import full taxonomy,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
food_detection_xt7yz,16_food_detection_xt7yz.zip,oauth_full23_v11,cached_audited,general_supplement_cherry_pick,unverified,8669,36,ACCEPT_FILTERED,General meal source; samples show rice/side dishes and useful common classes. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Audit clean; sample grid/manual review still required before full accept.,keep only mapped classes; cap source weight; dedupe against core Vietnamese sources,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
fish,06_fish.zip,oauth_full23_v11,cached_audited,single_class_booster,unverified,984,1,ACCEPT_FILTERED,Single fish/protein booster; samples are repetitive but boxes are simple. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Audit clean; sample grid/manual review still required before full accept.,use only if fish class needs support; cap image count; dedupe exact/similar frames,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
npg_project,15_npg_project.zip,oauth_full23_v11,cached_audited,low_priority_cherry_pick,unverified,8828,101,ACCEPT_FILTERED,Mostly isolated ingredient/product-style samples; lower fit for prepared-dish detection. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Segmentation rows require bbox conversion.,convert_segment_rows_to_bbox; keep ingredient classes only; reject product/background classes,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
food_detection_64,10_food_detection_64.zip,oauth_full23_v11,cached_audited,low_priority_cherry_pick,unverified,23466,64,ACCEPT_FILTERED,Broad/general food source; sample grid includes noisy/non-food context and people/background scenes. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Duplicate label rows require cleanup.,dedupe exact label rows; drop non-food/generic classes; cap source weight,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
vegetable_detection,05_vegetable_detection.zip,oauth_full23_v11,cached_audited,hold_crowded_box_review,unverified,8269,22,ACCEPT_FILTERED,"Vegetable source is relevant, but sample grid shows very crowded repeated boxes; high duplicate label rows. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Segmentation rows require bbox conversion.",convert_segment_rows_to_bbox; aggressive duplicate/overlap filtering; manual grid review before clean,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
food_prethesis_v3,Food.v3i.yolov11.zip,oauth_full23_v11,cached_audited,overlap_hold,unverified,997,10,ACCEPT_FILTERED,Alternate export overlaps food_prethesis v6; useful only if cleaner for specific classes. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Audit clean; sample grid/manual review still required before full accept.,dedupe by image hash and class overlap; include only classes not covered by v6,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
food_data_truongvo,01_food_data_vn.zip.zip,large_source_v8_roboflow,cached_audited_large_source,core_candidate,cc_by_4,8205,30,ACCEPT_FILTERED,"Strong Vietnamese backbone: 30 classes, 8205 images, 11181 boxes, no missing labels, no malformed rows, and private Kaggle raw-cache upload succeeded through Roboflow export.",manual sample-grid approval; class mapping to final taxonomy; cap source weight; dedupe against VietFood67 and other Vietnamese backbones,include in first clean candidate after class mapping and sample-grid approval
vietfood67,VietFood67.ZIP,large_source_v8_kaggle_direct,audited_direct_no_raw_cache,license_risk_noncommercial_candidate,cc_by_nc_sa_4,3002,68,ACCEPT_FILTERED,"Strong Vietnamese/non-commercial backbone: sampled 3002 images, 5241 boxes, no missing labels; external class map used because data.yaml is missing.",keep out of production/commercial clean set; drop generic/non-target classes such as human/hamburger/salad; class whitelist required,use only in private graduation/non-commercial clean lane after class whitelist
food_union_fruit_old,17_food_union_fruit.zip,not_audited,quarantine,quarantine,unverified,51343,12,SKIPPED_BY_DECISION,Previously marked old/problem fruit-heavy source.,none,exclude from first production clean
food_detection_3_old,11_food_detection_3.zip,not_audited,quarantine,quarantine,unverified,10000,36,SKIPPED_BY_DECISION,Previously marked old/problem source with severe duplicate-label history.,none,exclude from first production clean
